trial_id,model_name,provider,task_name,n_input_tokens,n_output_tokens,total_tokens,execution_time_sec,success,reward,model_name_perf,task_name_perf,execution_time_perf,success_perf,model_success_rate,final_success,final_execution_time
54242fbe-3b51-49f3-ae49-4c54c815aa61,gemini-2.5-pro,gemini,fix-ocaml-gc,36693,10994,47687,3600.464048,False,0.0,gemini-2.5-pro,fix-ocaml-gc,3600.464048,False,0.2,False,3600.464048
ba1cb721-476c-4678-b6d9-a32c574299f9,OpenAI/gpt-oss-20B,together_ai,git-leak-recovery,492,970,1462,98.778482,False,0.0,OpenAI/gpt-oss-20B,git-leak-recovery,98.778482,False,0.0,False,98.778482
7bb024c7-011a-4b66-8e79-188a2df3f5cf,deepseek-ai/DeepSeek-V3.1,together_ai,largest-eigenval,2803,1597,4400,909.685033,False,0.0,deepseek-ai/DeepSeek-V3.1,largest-eigenval,909.685033,False,0.2,False,909.685033
1a3cec9b-b4a1-45e8-b8b6-6d957408a37a,moonshotai/Kimi-K2-Instruct-0905,together_ai,path-tracing,9056,8736,17792,840.989617,False,0.0,moonshotai/Kimi-K2-Instruct-0905,path-tracing,840.989617,False,0.0,False,840.989617
412632cc-aac1-47d1-85bd-1afd32e384f6,gpt-5,openai,write-compressor,1894,2690,4584,900.250943,False,0.0,gpt-5,write-compressor,900.250943,False,0.3333333333333333,False,900.250943
4df4f348-712f-4adb-87c3-ee00917faad0,grok-4-0709,xai,dna-assembly,1157,286,1443,756.442839,False,0.0,grok-4-0709,dna-assembly,756.442839,False,0.0,False,756.442839
cc28009f-3117-4466-a75f-6fb0cf402b6e,OpenAI/gpt-oss-20B,together_ai,feal-linear-cryptanalysis,3352,13885,17237,1042.670139,False,0.0,OpenAI/gpt-oss-20B,feal-linear-cryptanalysis,1042.670139,False,0.0,False,1042.670139
52dd0a42-0529-4ff2-b822-33120fb18a63,deepseek-ai/DeepSeek-V3.1,together_ai,constraints-scheduling,5578,4056,9634,462.471271,True,1.0,deepseek-ai/DeepSeek-V3.1,constraints-scheduling,462.471271,True,0.8,True,462.471271
c6eba79c-375a-4a82-b0d0-2e34e1e30e1f,gpt-5,openai,log-summary-date-ranges,5777,2040,7817,203.376941,False,0.0,gpt-5,log-summary-date-ranges,203.376941,False,0.0,False,203.376941
79af95f8-2276-4ddc-8c39-6a015faa4b2f,claude-opus-4-1-20250805,anthropic,sqlite-with-gcov,9153,1444,10597,265.550426,True,1.0,claude-opus-4-1-20250805,sqlite-with-gcov,265.550426,True,0.5714285714285714,True,265.550426
b15502e6-690f-4df9-8953-ab33fa8268ca,grok-code-fast-1,xai,mteb-retrieve,3552,781,4333,210.914319,False,0.0,grok-code-fast-1,mteb-retrieve,210.914319,False,0.0,False,210.914319
2e7251cd-ee3a-49ba-b2c0-62d85843a04d,gpt-5-mini,openai,polyglot-rust-c,5555,7437,12992,900.035667,False,0.0,gpt-5-mini,polyglot-rust-c,900.035667,False,0.0,False,900.035667
a303cc65-3e71-4a94-b4d6-59f9ca84cec7,gpt-5-nano,openai,adaptive-rejection-sampler,12280,10786,23066,818.893071,True,1.0,gpt-5-nano,adaptive-rejection-sampler,818.893071,True,0.2,True,818.893071
11e10566-b462-43f1-9216-f805f03f0392,OpenAI/gpt-oss-20B,together_ai,db-wal-recovery,1112,832,1944,148.530202,False,0.0,OpenAI/gpt-oss-20B,db-wal-recovery,148.530202,False,0.0,False,148.530202
6d78f7f4-c47b-4ef8-bd35-af7adb9617fe,gpt-5,openai,fix-ocaml-gc,33403,30131,63534,3604.829114,False,0.0,gpt-5,fix-ocaml-gc,3604.829114,False,0.0,False,3604.829114
f518223a-567a-41ab-9390-086a69abdc56,claude-opus-4-1-20250805,anthropic,crack-7z-hash,9388,4956,14344,581.221997,True,1.0,claude-opus-4-1-20250805,crack-7z-hash,581.221997,True,0.8888888888888888,True,581.221997
cfb5cedd-b5b0-4924-9646-1a0336e467e6,gpt-5-mini,openai,pytorch-model-cli,1624,1725,3349,181.859916,False,0.0,gpt-5-mini,pytorch-model-cli,181.859916,False,0.0,False,181.859916
9d5422f4-bec8-404d-a9cc-0bf3c605f097,claude-opus-4-1-20250805,anthropic,torch-tensor-parallelism,11827,5215,17042,488.326042,False,0.0,claude-opus-4-1-20250805,torch-tensor-parallelism,488.326042,False,0.0,False,488.326042
88992378-e256-42d9-9358-2d0596158f62,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,together_ai,constraints-scheduling,5284,4303,9587,391.482547,False,0.0,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,constraints-scheduling,391.482547,False,0.0,False,391.482547
e2113bfb-9d33-4d24-a0c8-26f95f4e9b77,zai-org/GLM-4.5-Air-FP8,together_ai,db-wal-recovery,3364,5431,8795,910.990073,False,0.0,zai-org/GLM-4.5-Air-FP8,db-wal-recovery,910.990073,False,0.0,False,910.990073
f24bd6b7-733a-493d-976c-c9cf80698bf4,moonshotai/Kimi-K2-Instruct-0905,together_ai,fix-git,6606,4032,10638,347.422022,True,1.0,moonshotai/Kimi-K2-Instruct-0905,fix-git,347.422022,True,1.0,True,347.422022
b85060d9-03a4-4ffc-9d45-20e52f5e6f1b,moonshotai/Kimi-K2-Instruct-0905,together_ai,db-wal-recovery,3809,5735,9544,303.838788,False,0.0,moonshotai/Kimi-K2-Instruct-0905,db-wal-recovery,303.838788,False,0.0,False,303.838788
e1f3454c-6284-4983-bfe5-99d1d71346de,claude-opus-4-1-20250805,anthropic,pytorch-model-recovery,12483,3585,16068,511.260645,True,1.0,claude-opus-4-1-20250805,pytorch-model-recovery,511.260645,True,1.0,True,511.260645
dde7b849-23fd-4465-910e-b76d98eb7d13,deepseek-ai/DeepSeek-V3.1,together_ai,regex-log,2878,2859,5737,144.65089,False,0.0,deepseek-ai/DeepSeek-V3.1,regex-log,144.65089,False,0.2,False,144.65089
d1e0f468-3b22-4fbf-8c21-d314570033a4,gpt-5-mini,openai,path-tracing-reverse,14672,9768,24440,1150.946894,False,0.0,gpt-5-mini,path-tracing-reverse,1150.946894,False,0.0,False,1150.946894
d1c575cd-dc0e-4807-9d7c-0d5ffc7dc04a,claude-sonnet-4-20250514,anthropic,sqlite-db-truncate,4764,3222,7986,203.612365,False,0.0,claude-sonnet-4-20250514,sqlite-db-truncate,203.612365,False,0.0,False,203.612365
56dc328c-31f0-410c-ac75-12da0e370794,OpenAI/gpt-oss-20B,together_ai,git-leak-recovery,483,2054,2537,254.141303,False,0.0,OpenAI/gpt-oss-20B,git-leak-recovery,254.141303,False,0.0,False,254.141303
